news_headline,news_article,news_category
153-yr-old Patna Met Centre gets centennial observing station status,"The WMO has awarded the status of 'centennial observing station' to the Patna meteorological observatory. ""With this recognition, Patna has joined a niche club of cities having a long-term record of scientific observation in the field of meteorology, climatology and applied science,"" Centre's Director Vivek Sinha said. Patna meteorological observatory was established in 1867.",science
"2020 was faster than usual, broke record for shortest day 28 times: Scientists","The 28 fastest days on record all occurred in 2020, with Earth completing its rotations around its axis milliseconds quicker than average, scientists said. The shortest day was July 19, when Earth completed one spin 1.4602 milliseconds faster than 86,400 seconds. Before 2020, the shortest day was noted on July 5, 2005, when the Earth's rotation was 1.0516 milliseconds faster.",science
Don't get many opportunities so give my 100% every time: Nadeem,"Spinner Shahbaz Nadeem said since he doesn't get selected in the SRH playing XI that often, therefore he always gives his 100% whenever he gets an opportunity. ""I am used to not getting so many games. When you get your chance, you give your 100 per cent,"" Nadeem said. He was named player of the match against MI.",sports
"Kuldeep, Jadeja not the same bowlers without Dhoni: Kiran More","Ex-wicketkeeper-batsman Kiran More has said that former India captain MS Dhoni used to constantly give advice to bowlers and now that he is not there behind the wickets, spinners are no longer the same bowlers. In the ODI series against Australia, while Chahal conceded 160 runs in two matches, Jadeja went for 185 runs in three. ",sports
Action of Maha govt like Emergency: Javadekar after Arnab's arrest,"After Republic TV Editor-in-Chief Arnab Goswami was arrested for allegedly abetting the suicide of an interior designer, Union Minister Prakash Javadekar tweeted, ""This is an action of Maharashtra government just like the Emergency."" He added, ""This reminds us of the Emergency days when the press was treated like this."" He wrote, ""We condemn the attack on press freedom in Maharashtra.""",politics
Japanese university to develop wooden satellites to cut down space junk,"Japan's Kyoto University is teaming up with Japanese forestry company Sumitomo to develop wooden satellites to shoot into orbit by 2023 in a bid to cut down on space junk. Kyoto University professor and astronaut Takao Doi said wooden satellites, while burning on re-entry after falling out of orbit, release less harmful particles than metal satellites.",science
"BJP, NCP both seek credit for Pune's Bhama Askhed project","After the Pune Municipal Corporation (PMC) claimed to have completed the work on Bhama Askhed dam project, both BJP and NCP have sought credit for the project. ""During BJP's tenure, the party had approved funds from the standing committee for this project,"" BJP's city unit president said. ""Project was approved by the Congress and NCP,"" NCP MLA Sunil Tingre responded. ",politics
"Sunquakes may originate over 1,000 km beneath Sun's surface: NASA","NASA scientists suggested seismic activity on the Sun during solar flares, sunquakes, might be originating from 1,126.5 kilometres beneath its surface. Earlier, scientists believed magnetic forces or heating of Sun's outer atmosphere caused sunquakes. Scientists' new conclusion came after observing a sunquake with unusually sharp ripples produced from a moderately strong solar flare in 2011.",science
Sushil Kumar Modi takes oath as Rajya Sabha member from Bihar,Former Bihar Deputy CM and senior BJP leader Sushil Kumar Modi on Saturday took oath as a Rajya Sabha member from Bihar. The oath was administered to him by Vice President and Chairman of the Rajya Sabha M Venkaiah Naidu in the Parliament House. Sushil Modi was on Monday declared elected unopposed to the Rajya Sabha.,politics
"Attempts to intimidate: SAD after NIA summons farmer leader, actor","Shiromani Akali Dal (SAD) chief Sukhbir Singh Badal said the Centre is trying to intimidate farmers through NIA after farmers' leader Baldev Singh Sirsa and Punjabi actor Deep Sidhu were summoned among 40 others. ""Strongly condemn Centre's attempt...They aren't anti-nationals. And after failure of talks...it's absolutely clear that GOI is only trying to tire out farmers,"" Badal tweeted.",politics
"General Motors unveils self-driving, flying Cadillac car concept","General Motors has unveiled a Cadillac-branded autonomous, flying vehicle concept at the 2021 CES show which is capable of carrying passengers from rooftop to rooftop. The single-seater electric vehicle takes off and lands vertically and can travel at speeds of up to 88.5 kmph. The concept is GM's first foray into aerial mobility and unlikely to go into production.",automobile
Kolkata Municipal Corporation polls likely in March 2021: Official,"The Kolkata Municipal Corporation (KMC) elections​ are likely to be held in March 2021, senior officials of West Bengal State Election Commission said. ""As per the Supreme Court's directive, the state government has sent a communication to us saying that the KMC polls may be held within four weeks after the final electoral roll is adopted,"" an official said.",politics
CO2 levels to be 50% higher than pre-industrial era in 2021: Report,"Human activity will push concentrations of carbon dioxide in the atmosphere to levels 50% higher than before the Industrial Revolution, in 2021, the UK's Met Office reported. CO2 concentration is expected to exceed 417 ppm for several weeks from April to June for the first time. However, CO2 accumulation is expected to be slightly slower than usual in 2021.",science
7 of top 10 killers pre-COVID-19 were non-communicable diseases: WHO,"Non-communicable diseases accounted for seven of the top 10 causes of death before the coronavirus pandemic, the World Health Organization (WHO), citing data from 2000 to 2019, said. Heart disease has been world's biggest cause of death for the last 20 years, it added. In 2019, people were living for over six years longer than in 2000, it further said.",science
"Australian commentator mistakes Gavaskar for Sachin, video goes viral","Australian commentator James Brayshaw introduced Sunil Gavaskar as Sachin Tendulkar during a channel's commentary for the third Test between Australia and India. ""Sachin Tendulkar, welcome, and also Damien Fleming,"" he was heard saying. ""My apologies Sunil, we were just talking about him a second ago,"" he added. ""I am flattered to be called Sachin Tendulkar,"" Gavaskar joked.",sports
Players in dhoti play cricket match with Sanskrit commentary in Bhopal,"Priests and Sanskrit students played cricket in Madhya Pradesh's Bhopal on Saturday in their dhotis while the commentary took place in Sanskrit. The Maharishi Cup Cricket Tournament was organised to commemorate the 104th birth anniversary of Maharishi Mahesh Yogi. According to the organisers, translating cricket terms into Sanskrit ""was the biggest task"". ",sports
"Several injured as BJP, TMC supporters clash in West Bengal","Several people were injured and some houses were ransacked in a clash that took place between TMC and BJP supporters in West Bengal on Saturday, police said. Both sides hurled bombs at each other and a police contingent has been sent to bring the situation under control, police said. ""Local TMC leaders are behind the attack,"" a BJP leader alleged.",politics
My little boy has asked me to wake him up whenever Kohli comes to bat: Vaughan,"Talking about Team India captain Virat Kohli's impact on children, ex-England captain Michael Vaughan said, ""My little boy...always asks me to wake him up when Kohli comes out to bat. As soon as Kohli gets out, he goes back inside to do something else."" He further said, ""Kohli is that powerful with the kids.""",sports
Blue Origin receives NASA approval to launch future uncrewed missions,"Amazon Founder Jeff Bezos-owned Blue Origin has received approval from NASA to launch future unmanned scientific and exploration missions aboard its reusable New Glenn launch vehicle. Under the contract, Blue Origin will be able to compete for national security launch contracts. The New Glenn booster is not expected to make its first flight until 2021. ",science
Will withdraw Republic Day procession if SC orders: Farmer leader,"National spokesperson of Bhartiya Kisan Union (BKU) Rakesh Tikait on Friday said, ""If the Supreme Court will order, farmers would not hold the proposed parade on Republic Day."" He added, ""We would conduct the rally on some different day."" Earlier, BKU had said that the farmers will take out a procession from Red Fort to India Gate on Republic Day. ",politics
"Modi govt's apathy, arrogance has claimed lives of 60 farmers: Rahul","Congress leader Rahul Gandhi on Tuesday said that Modi government's apathy and arrogance have claimed lives of over 60 farmers. ""Instead of wiping their tears, GOI is busy attacking them with tear gas,"" Rahul said. He added, ""Such brutality, just to promote crony capitalists' business interests. Repeal the anti-farm laws.""",politics
Chinese scientists claim to have achieved quantum supremacy,"Chinese scientists have claimed to have achieved quantum supremacy, building a quantum computer capable of carrying out certain calculations 100 trillion times faster than existing supercomputers. The breakthrough was achieved by manipulating photons, particles of light. The computer could process 10 billion times faster than Google's quantum computer unveiled last year, the researchers claimed.",science
Congress ends up opposing country while opposing PM Modi: JP Nadda,"Stating that the Congress stands with the ""Gupkar Gang"" in Jammu and Kashmir, BJP chief JP Nadda on Friday said, ""The Congress ends up opposing the country while opposing (Prime Minister Narendra) Modi ji."" Nadda added, ""In Jammu and Kashmir, NC President Farooq Abdullah said that he would seek China's help to restore Article 370."" ",politics
Archer's old tweets go viral after he dismisses Gayle for 99 runs,"RR fast bowler Jofra Archer's old tweets have gone viral after he dismissed KXIP's Chris Gayle for 99 runs on Friday. ""I know if I was bowling I know he wasn't getting da 100,"" Archer's seven-year-old tweet read. Another viral tweet read, ""Cg don't hurt yourself boy."" The second tweet referred to Gayle throwing away his bat in frustration.",sports
Tesla responsible for 2/3 of all my pain combined: Elon Musk,"Tesla CEO Elon Musk has tweeted, ""Tesla is responsible for 2/3 of all the personal & professional pain in my life combined. But it was worth it."" He added that at Tesla's start he thought it had ""(optimistically) a 10% chance of surviving at all"". Musk praised Tesla's team for producing and delivering nearly half a million cars in 2020.
",automobile
Tesla reveals women comprise 17% of its total US leadership roles,"Tesla revealed in its first-ever US diversity report that women comprise 17% of the company's leadership roles and 21% of the overall workforce. It added that Black people make up 4% of its US leadership roles and 10% of its total workforce. ""While women are historically underrepresented...we recognise we have work to do in this area,"" Tesla said.",automobile
"Auto industry lost ₹2,300cr a day in lockdown: Parliamentary panel","The automotive industry suffered ₹2,300 crore loss per day during the COVID-19 lockdown, according to a parliamentary panel report submitted to Rajya Sabha Chairman M Venkaiah Naidu. The sector witnessed an estimated job loss of about 3.45 lakh, the report said. All major original equipment manufacturers (OEM) cut down their production by 18-20% due to low demand, it added.",automobile
Startup uses Tharoor's caricature in ad without consent; MP takes legal action,"Edtech startup Mastree used MP Shashi Tharoor's caricature without his consent for their advertisement with caption, ""Gift your child Shashi Tharoor's confidence."" Tharoor has sought a public apology and a legally binding commitment to 'cease and desist such practices'. ""I was shocked...of their advertising using my name and caricature as if to imply I had endorsed their courses,"" Tharoor said.",politics
Those in touch with opposition parties free to quit TMC: Mamata,"During an online meeting with top TMC leaders on Friday, West Bengal Chief Minister Mamata Banerjee issued a warning against ""anti-party activities"" and stated that TMC leaders in touch with opposition parties were free to quit her party. She added, ""Those who are quitting, they may pray for my death but they cannot wish more than that.""",politics
Tesla signs five-year deal with Chinese company for lithium supply,"China's Sichuan Yahua Industrial Group has signed a five-year deal with Tesla to supply battery-grade lithium hydroxide to the EV manufacturer. The total value of the contract was put at $630-880 million over 2021-25 in a filing to the Shenzhen Stock Exchange, Reuters reported. Ganfeng Lithium, one of the world's largest lithium producers, also supplies the commodity to Tesla.",automobile
Central government should withdraw farm laws now: Akhilesh Yadav,Former UP CM Akhilesh Yadav on Tuesday said that Centre should withdraw the new farm laws following the Supreme Court's decision to stay its implementation till further orders. The Samajwadi Party chief added that it was the responsibility of BJP government to provide MSP to the farmers as it had promised that it would double the farmers' income by 2024.,politics
Fiat Chrysler to invest $250 million in India unit ,"Fiat Chrysler Automobiles (FCA) has said it will invest $250 million in India to launch four new sport-utility vehicles (SUVs) over the next two years, taking its total investment in the country to over $700 million. The company will produce and assemble the new SUVs at its car plant in Maharashtra, which it jointly owns with Tata Motors.",automobile
"2020 was faster than usual, broke record for shortest day 28 times: Scientists","The 28 fastest days on record all occurred in 2020, with Earth completing its rotations around its axis milliseconds quicker than average, scientists said. The shortest day was July 19, when Earth completed one spin 1.4602 milliseconds faster than 86,400 seconds. Before 2020, the shortest day was noted on July 5, 2005, when the Earth's rotation was 1.0516 milliseconds faster.",science
"Gayle throws his bat in frustration after getting out on 99, video surfaces","KXIP batsman Chris Gayle threw away his bat in frustration after getting out on 99 against RR on Friday. This is the first time in his T20 career that he got out on 99. ""To the guys who I promised a century today, I missed out but in my mind it's a century. I scored a hundred,"" he later said.",sports
"Jupiter and Saturn come closest in night sky after 397 years, pics go viral","Jupiter and Saturn came closer than any time in 397 years on Monday night in the event dubbed 'Great Conjunction'. The two planets were at their closest separation at 0.1° apart. The event was visible with the unaided eye as well. The pictures above include the event as seen from New Delhi, Las Vegas and New York among others.",science
"People would name Rahul, but my pick is Shubman for no. 6 spot: Agarkar","Ex-India pacer Ajit Agarkar has said that Shubman Gill should bat at number six position after the Adelaide Test. ""I don't see any better options at this point [for number six spot]. People could point to KL Rahul and his white-ball form but if I had to pick, I'll go with Shubman Gill [for it],"" he stated. ",sports
India's 40th scientific expedition to Antarctica to leave from Goa on Jan 5,"India's 40th scientific expedition to Antarctica will leave on a ship from Goa on January 5 with 43 members, less than the conventional strength, due to COVID-19. The vessel will sail from Goa's MPT to Cape Town, from where it will reach Antarctica in about 18 days. Two helicopters will be added to the expedition at Cape Town.",science
New state of matter 'liquid glass' discovered: Scientists,"University of Konstanz's researchers have uncovered a new state of matter, liquid glass, with previously unknown structural elements. They used a model system involving suspensions of tailor-made ellipsoidal colloids to uncover the state. In liquid glass state, individual particles are able to move yet unable to rotate, a complex behaviour that has not previously been observed in bulk glasses.",science
Smith isn't that far away from Kohli: Gambhir on best ODI batsman ever,"Ex-India opener Gautam Gambhir has said that Australia batsman Steve Smith is not far behind Virat Kohli in the ""best ODI batsman in the world ever"" discussion. ""Getting...two back to back hundreds in 60 balls is no joke. Yes, Kohli will always have better numbers but look at the impact Smith has had in the last two games,"" he added. ",sports
England once played Test matches in 2 continents on same day,"England are the only country to appear in two Test matches in two countries of two different continents on the same day. England beat New Zealand in Christchurch on January 13, 1930, the same day another England team was playing a Test against West Indies in Barbados. England had sent different teams to Caribbean and New Zealand to promote cricket.",sports
Ours is Mahatma Gandhi's Hindutva: Karnataka Congress chief,"Karnataka Pradesh Congress Committee President DK Shivakumar on Monday said his party believes in the Hindutva of Mahatma Gandhi and Swami Vivekananda. ""We (Congress) will protect and safeguard the interest of everyone as said in our constitution,"" he added. ""India's tradition, culture is the wealth that belongs to all of us,"" Shivakumar further said.",politics
Workers of Toyota unit near B'luru to continue strike over workload,"Factory workers at Toyota Kirloskar Private Limited's Bidadi unit, located near Bengaluru, announced that they will continue their ongoing strike over increased workload, among other concerns. They said that they don't get time to drink water or use the washroom. The unit has been in a lockout since November 10, after 41 workers were suspended for allegedly questioning the management.",automobile
IISc and Indian Oil sign MoU for hydrogen generation technology,"Bengaluru's IISc and the Indian Oil Corporation signed an MoU to develop and demonstrate biomass gasification-based hydrogen generation technology. The developed technology will be scaled up and demonstrated at Indian Oil's R&D Centre at Faridabad. Hydrogen generated from this demonstration plant will be used to power fuel cell buses as part of a ""bigger project"" being conceived by Indian Oil.",science
Aus selectors got lot of thinking to do before the third Test: Ponting ,"After eight-wicket loss against India in the second Test, ex-Australia captain Ricky Ponting said  Australian selectors have a lot of thinking to do over next few days. ""They've got more questions to answer now than they have had in a long, long time,"" Ponting added. He also said Warner's return is important while Smith and Labuschagne need to find form.",sports
"No fitness issue, Hardik will be back for playoffs: Rohit Sharma","MI captain Rohit Sharma clarified that Hardik Pandya has no fitness problem and was only rested for their last league match against SRH. ""We just wanted to give him (Hardik) a break and give other guys some opportunities...I am sure he will be ready for the playoffs,"" Rohit said. MI will face DC in Qualifier 1 on November 5.",sports
Sinking land may affect 635 million people worldwide by 2040: Study,"The gradual sinking of land could affect 635 million people globally by 2040, according to new research funded by UNESCO. During the past century, land subsidence due to groundwater depletion occurred at 200 locations in 34 countries. Researchers said most of the 635 million inhabitants in subsistence-susceptible areas are located in Asia, with a total exposed GDP of $9.78 trillion.",science
Cong calls for 12-hr state-bandh after attack on Tripura party chief,"In response to an attack on state party chief Pijush Kanti Biswas' vehicle, the Tripura Congress has called for a 12-hour state-bandh on January 19. Congress has alleged that the BJP workers were behind the attack. ""It was a murder attempt. We don't support violence and are protesting peacefully,"" a Congress worker said. ",politics
New chemical compounds to kill malaria parasite found: Scientists,A University of Pretoria-led research found new chemical compounds that could potentially be used for killing the malaria parasite in its infectious stage. It found that chemical compounds undergoing trials for treatment of tuberculosis and cancer can kill the parasite at a stage when it normally infects others. The compounds could also help create a new line of malaria drugs.,science
Tata Motors' shares rise 11% amid reports of tie-up with Tesla ,"Tata Motors' shares surged further 11% on Tuesday amid reports of it partnering with Tesla in India. On Monday, its shares had climbed 13%. Its shares also rose as it posted a 13.1% increase in the number of sales of Jaguar Land Rover (JLR) vehicles in the December quarter. The company added that China sales for JLR were ""particularly encouraging"".",automobile
No need for major alarm over new coronavirus strain: WHO,"WHO has said there is no need for major alarm over the emergence of COVID-19's new variant and that it was a normal part of a pandemic's evolution. WHO officials, citing Britain's data, said they had no evidence that the variant was deadlier than existing strains. Officials said coronavirus mutations had so far been much slower than with influenza.",science
Where is the BJP storm?: Asaduddin Owaisi on GHMC election results,"Following GHMC election results, AIMIM chief Asaduddin Owaisi said that there is no ""BJP storm"". ""Where is the storm?...they said they would conduct a surgical strike in the old city...they couldn't do anything in my area,"" he said. ""We contested in 51 seats and won 44. Think what would have happened, had AIMIM contested in 80 seats,"" Owaisi added.",politics
"Sunquakes may originate over 1,000 km beneath Sun's surface: NASA","NASA scientists suggested seismic activity on the Sun during solar flares, sunquakes, might be originating from 1,126.5 kilometres beneath its surface. Earlier, scientists believed magnetic forces or heating of Sun's outer atmosphere caused sunquakes. Scientists' new conclusion came after observing a sunquake with unusually sharp ripples produced from a moderately strong solar flare in 2011.",science
1st space station crew to launch during the pandemic return after 196 days,"NASA astronaut Chris Cassidy and Russian cosmonauts Anatoly Ivanishin and Ivan Vagner returned to Earth on Thursday after spending 196 days at the International Space Station. The crew launched to the space station on April 9, just weeks after WHO declared COVID-19 a pandemic. They landed back on the steppe of Kazakhstan, NASA said.",science
Saliva-like droplets sprayed in stadium to study how fans spread aerosols,"Scientists have sprayed fine droplets, made to resemble saliva, over empty stands at the Netherlands' largest football stadium to model how a football crowd might spread aerosols through the air. Scientists aim to find out more about the behaviour of airborne particles, which could spread the coronavirus within a crowd and thus be able to remove them from the air.",science
Delhi govt launches forum to discuss electric vehicle policy,"Delhi government on Friday launched the 'Delhi EV Forum', a common platform for multiple stakeholders to hold discussions on the government's electric vehicle (EV) policy. ""Delhi EV Forum will be the first such forum in India...The first meeting will be held virtually on December 18,"" Delhi DDC Vice Chairperson said. The policy's objective is to combat air pollution in Delhi.",automobile
CM refuses to admit Delhi's poor AQI is due to internal causes: Cong,"Delhi Congress leader Haroon Yusuf on Saturday said, ""Despite no stubble burning, air pollution stays in very poor category in Delhi due to internal causes which [Delhi CM Arvind] Kejriwal has refused to admit."" Congress had created a clean Delhi which became ""heavily polluted under AAP rule"", he claimed. Yusuf called Kejriwal's 'Red light on, Gaadi off' campaign ""meaningless"".",politics
Don't hold pro-farm laws events: Amit Shah to H'yana govt after Karnal violence,"Union Home Minister Amit Shah has asked the Haryana government to refrain from holding pro-farm laws events or outreach programmes in the state until further notice, according to state Education Minister Kanwar Pal. Earlier, Haryana CM Manohar Lal Khattar's event, 'Kisan Mahapanchayat', was cancelled as protesting farmers had vandalised the venue in Karnal on Sunday.",politics
Chinese spacecraft brings 1st lunar samples in over 40 years,"China's Chang'e-5 probe successfully landed in the northern Chinese region, bringing back the first lunar rocks and soil retrieved by any country in over 40 years. China is now the third country to have retrieved lunar samples. It will be sharing a portion of the lunar soil with other nations and organisations based on international cooperation conventions.",science
"I'll observe 1-day fast in support of farmers, urge public to fast too: Delhi CM","Delhi CM Arvind Kejriwal on Sunday said that he would be observing a one-day fast on Monday in support of the farmers protesting against the new farm laws. He also appealed to AAP workers and supporters and the public to observe the fast as well. Earlier, he had visited the Singhu Border to show his support to the farmers.",politics
New salamander species added to US' North Carolina's list of 63 species,"The US' North Carolina State added a new salamander species to its list of 63 species. The 'Carolina Sandhills Salamander' was previously categorised as an unusual population of the 'Southern Two-lined Salamander'. However, researchers used sequencing technology to show that the new species differs genetically. It also differs in colouration, size and natural history from complex's other members.",science
"Tesla looking for sale, charging sites in Mumbai: Report","Elon Musk-led Tesla has launched an extensive exercise to look for sites for sale and marketing of its electric cars which will be imported initially, reported The Free Press Journal. The company will also reportedly speak to Tata Power and Adani Electricity for its charging facilities. The company has also sought the intervention of the Maharashtra government, it reported.",automobile
Tesla shares fall 6% in first day of trading on S&P 500 index,"Elon Musk-led Tesla's shares on Monday dipped as much as 6.3% in pre-market trading in its first day of trading on the S&P 500 index. Tesla, which is the most valuable company to be added to the benchmark index, will account for 1.69% of the S&P 500. Tesla's shares have soared over 700% so far in 2020.",automobile
I am not Dhoni: Wade heard saying on stump mic after missed stumping,"Australia stand-in captain and wicketkeeper Matthew Wade was heard saying 'I am not Dhoni, not quick enough like Dhoni' on stump mic after a narrow stumping miss in the second T20I. Team India batsman Shikhar Dhawan, who was on the striker's end, was seen acknowledging Wade's statement with a nod. This happened in the ninth over of India's innings.",sports
Lockdowns reduced nitrogen dioxide concentrations by 20%: NASA,"In a recent study, NASA researchers found that COVID-19 related restrictions have reduced global nitrogen dioxide concentrations by nearly 20% since February. Nitrogen dioxide is a pollutant primarily produced by the combustion of fossil fuels used by industry and transportation. NASA used computer models to generate a simulation of COVID-free 2020 for comparison with actual ground observations.",science
2 IAF doctors to soon leave for Russia to train for Gaganyaan: Report,"Two Indian Air Force doctors who have specialised in aerospace medicine will soon fly to Russia to get hands-on experience in space medicine for the Gaganyaan mission, PTI reported. The flight surgeons will also get to train with the prospective astronauts. Four test pilots from IAF, chosen for the mission, have been undergoing training in Russia since last year.",science
Workers of Toyota unit near B'luru to continue strike over workload,"Factory workers at Toyota Kirloskar Private Limited's Bidadi unit, located near Bengaluru, announced that they will continue their ongoing strike over increased workload, among other concerns. They said that they don't get time to drink water or use the washroom. The unit has been in a lockout since November 10, after 41 workers were suspended for allegedly questioning the management.",automobile
Manchester City owner secretly buys oldest existing FA Cup trophy for ₹7.5 crore,"Manchester City owner Sheikh Mansour secretly bought the oldest surviving FA Cup trophy for £760,000 (₹7.5 crore). The Football Association Challenge Cup trophy, a forerunner of the FA Cup in use today, was presented to winning teams from 1896 to 1910, when the original was stolen from a shop in Birmingham after Aston Villa won the title. ",sports
Tesla signs five-year deal with Chinese company for lithium supply,"China's Sichuan Yahua Industrial Group has signed a five-year deal with Tesla to supply battery-grade lithium hydroxide to the EV manufacturer. The total value of the contract was put at $630-880 million over 2021-25 in a filing to the Shenzhen Stock Exchange, Reuters reported. Ganfeng Lithium, one of the world's largest lithium producers, also supplies the commodity to Tesla.",automobile
"Tesla beats 2020 delivery estimates, falls short of Musk's target","Tesla on Saturday reported 4,99,550 vehicle deliveries during 2020, bettering Wall Street estimates of 4,81,261 vehicles, according to Refinitiv data. However, annual deliveries fell slightly short of CEO Elon Musk’s target of 5,00,000. Musk had set the target before the COVID-19 pandemic struck, and maintained it even as its only US plant was forced to shut for several weeks.",automobile
"Fiat Chrysler, US startup Archer partner to build electric aircraft","Fiat Chrysler and US-based startup Archer have partnered to produce an electric vertical take-off and landing (eVTOL) aircraft. FCA will provide input that contributes to Archer's eVTOL cockpit's design, among other things. The aircraft will be powered by an electric motor and will be able to fly about 96 kilometres high at a ​top speed of around 241 kilometres/hour.",automobile
"Hardik, Krunal Pandya's father dies due to heart attack, Krunal leaves SMAT bio-bubble","Cricketers Hardik Pandya and Krunal Pandya's father Himanshu Pandya passed away due to a heart attack this morning. Baroda captain Krunal has left the Syed Mushtaq Ali Trophy (SMAT) bio-bubble in order to be with his family. Krunal wouldn't be taking part in the remaining matches of the tournament, Baroda Cricket Association (BCA) CEO Shishir Hattangadi told ANI.",sports
"Hyundai, Kia agree to $210M US penalty for delay in vehicles' recall","Hyundai and Kia Motors have agreed to $140 million and $70 million civil penalties, respectively, after US auto safety regulators said they delayed recall of 1.6 million vehicles for engine issues. The settlement covers recall in 2015 and 2017 for manufacturing issues. Kia denied the allegations but agreed to settle the matter to ""avoid a protracted dispute with the government"".",automobile
US world's biggest generator of plastic waste: Study,"A study in which the University of Georgia participated said the US produces more plastic waste than any other nation. Researchers studied data from 2016 and said the US had the largest annual per capita plastic waste generation of the top plastic waste-generating countries. They added that, in 2016, it shipped over half of all plastics collected for recycling abroad.",science
Delhi govt launches forum to discuss electric vehicle policy,"Delhi government on Friday launched the 'Delhi EV Forum', a common platform for multiple stakeholders to hold discussions on the government's electric vehicle (EV) policy. ""Delhi EV Forum will be the first such forum in India...The first meeting will be held virtually on December 18,"" Delhi DDC Vice Chairperson said. The policy's objective is to combat air pollution in Delhi.",automobile
"Stop complaining, get on with the game: Lyon on stricter quarantine protocols","Australia off-spinner Nathan Lyon said both India and Australia should ""stop complaining"" about stricter quarantine measures in Brisbane. ""In my eyes it is a very small sacrifice for us to go out there and play the game we love and put a lot of smiles on a lot of people's faces around the world,"" said Lyon.",sports
"Apple CFO, Apple's ex-design chief candidates for Ferrari CEO: Report","Apple CFO Luca Maestri and former Chief Design Officer Jony Ive are reportedly candidates to be Ferrari's next CEO, Reuters reported. Ferrari CEO Louis Camilleri announced his retirement earlier due to ""personal reasons"". Former Vodafone CEO Vittorio Colao was allegedly in the running for the position too, but Reuters said a source close to Colao has called the claim ""groundless"".",automobile
You'll always remember what Team India achieved this summer: Gavaskar to Australians,"Former India captain Sunil Gavaskar has praised Team India's mental and physical strength shown in the four-match Test series against Australia. “The tour has tested India not just physically but mentally as well,"" he said. ""I know you [Australians] will always remember what these Indians have achieved this summer,"" he further said.",sports
"NASA shares pic of Himalayan mountains, Delhi's city lights captured from space ","NASA took to Instagram to share a picture of snow-covered Himalayan mountains and Delhi's city lights captured from space. ""The bright city lights of New Delhi, India, and Lahore, Pakistan, are...visible below the faint, orange airglow of atmospheric particles reacting to solar radiation,"" NASA wrote. Reacting to the picture, a user wrote, ""This is so beautiful.""",science
"India should not think too far ahead, play session by session: Gavaskar","Ex-India captain Sunil Gavaskar has said that Team India should not think to go for a win or a draw in the ongoing Sydney Test but play the game session by session. ""They [India batsmen] need to only think about how they need to play the next delivery...If they think too far ahead, they'll put pressure on themselves,"" he explained. ",sports
"Babar Azam, Imam-ul-Haq ruled out of first Test against New Zealand","Pakistan captain Babar Azam and opener Imam-ul-Haq will be missing the upcoming first Test against New Zealand due to thumb injuries. While Babar fractured his right thumb, Imam injured his left thumb during training sessions last week. In Babar's absence, wicketkeeper Mohammad Rizwan will lead Pakistan in the first Test and will become his country's 33rd Test captain.",sports
Who are the 4 astronauts on SpaceX's 1st commercial crew flight for NASA?,"The astronauts on SpaceX's first commercial crew flight for NASA include Shannon Walker, who holds a Doctorate of Philosophy in Space Physics, and Victor Glover, who has in the past served as Legislative Fellow in US Senate. Astronaut Soichi Noguchi holds a Doctorate of Philosophy in Advanced Interdisciplinary Studies, while Michael Hopkins holds a Master of Science in Aerospace Engineering.",science
"CEC, ECs to visit Assam for 3 days to check election preparedness","A delegation comprising Chief Election Commissioner (CEC) Sunil Arora, and Election Commissioners (ECs) Rajiv Kumar and Sushil Chandra will depart for Assam today to take stock of election preparedness ahead of Assembly polls. The officials will be on a three-day visit, and reportedly will hold meetings with Assam CEO Nitin Khade and state machinery to discuss poll-related matters amid COVID-19.",politics
"Melbourne Renegades get all out for 60, suffer biggest defeat in history of BBL","Aaron Finch-led Melbourne Renegades got all out for just 60 runs in 10.4 overs while chasing down the target of 206 against Sydney Sixers in a Big Bash League match on Sunday. Melbourne Renegades' 145-run loss is the biggest defeat for a team in the entire history of Big Bash League. Further, their 60-run total is the second-lowest BBL total.",sports
"Nobby Stiles, World Cup winner with England in 1966, dies aged 78","Former Manchester United midfielder Nobby Stiles, who lifted the 1966 World Cup with England, died aged 78 after a long illness, his family has announced. Stiles had prostate cancer and advanced dementia. He earned 28 caps for England and made 395 appearances for Manchester United between 1960-71, scoring 19 times. Stiles also served as United's youth coach for four years.",sports
I'm in shock: Shane Warne criticises Lyon for his tactics against Pujara,"Ex-Australia spinner Shane Warne has criticised Nathan Lyon for not using an off-side bat-pad fielder for Cheteshwar Pujara on the final day of the Brisbane Test, which India won to clinch the series 2-1. ""I just cannot believe it. I'm in shock...Lyon knows how [off-side bat-pad fielder] changes Pujara's game...so why on earth would you not have one?"" Warne stated. ",sports
Wanted to put Ashwin under a bit of pressure: Steve Smith,"Australia batsman Steve Smith said he intended to put Ravichandran Ashwin under pressure on Day 1 of the SCG Test on Thursday, something he ""hasn't done in this series"" till now. Ashwin has dismissed Smith twice in the first two Tests of series. At stumps on Day 1, Smith is batting on 31 along with Marnus Labuschagne (67*). ",sports
Riverine wetlands in Pune increasingly flourishing with invasive weeds: Study,"Botanists Savita and Sanjaykumar Rahangdale have said that riverine wetlands within city limits of Pune have been found to be increasingly flourishing with invasive weeds, like hyacinth. ""In the last decade...these invasive weeds have captured and expanded their area. This is mainly due to the rising pollution levels in...rivers,"" Sanjaykumar said. The duo conducted a nine year-long study.",science
